"whether he/she donated blood in March 2007",Frequency (times),Monetary (c.c. blood),Time (months),Recency (months)
1,1.0,1.0,1.0,0.142857142857
1,0.244897959184,0.244897959184,0.270833333333,0.0
1,0.30612244898,0.30612244898,0.34375,0.0714285714286
1,0.387755102041,0.387755102041,0.447916666667,0.142857142857
0,0.469387755102,0.469387755102,0.78125,0.0714285714286
0,0.0612244897959,0.0612244897959,0.0208333333333,0.285714285714
1,0.122448979592,0.122448979592,0.125,0.142857142857
0,0.224489795918,0.224489795918,0.34375,0.0714285714286
1,0.163265306122,0.163265306122,0.208333333333,0.142857142857
1,0.918367346939,0.918367346939,1.0,0.357142857143
0,0.448979591837,0.448979591837,0.583333333333,0.285714285714
0,0.0408163265306,0.0408163265306,0.0208333333333,0.0
1,0.183673469388,0.183673469388,0.270833333333,0.142857142857
0,0.244897959184,0.244897959184,0.46875,0.0714285714286
1,0.102040816327,0.102040816327,0.135416666667,0.142857142857
1,0.0816326530612,0.0816326530612,0.09375,0.142857142857
1,0.265306122449,0.265306122449,0.479166666667,0.142857142857
1,0.285714285714,0.285714285714,0.489583333333,0.142857142857
1,0.102040816327,0.102040816327,0.135416666667,0.142857142857
1,0.0408163265306,0.0408163265306,0.0208333333333,0.142857142857
1,0.0408163265306,0.0408163265306,0.0208333333333,0.142857142857
0,0.204081632653,0.204081632653,0.270833333333,0.285714285714
1,0.102040816327,0.102040816327,0.145833333333,0.142857142857
1,0.102040816327,0.102040816327,0.145833333333,0.142857142857
0,0.163265306122,0.163265306122,0.145833333333,0.642857142857
0,0.265306122449,0.265306122449,0.395833333333,0.285714285714
0,0.102040816327,0.102040816327,0.125,0.285714285714
1,0.224489795918,0.224489795918,0.333333333333,0.285714285714
1,0.0816326530612,0.0816326530612,0.09375,0.285714285714
0,0.142857142857,0.142857142857,0.197916666667,0.285714285714
0,0.265306122449,0.265306122449,0.583333333333,0.0714285714286
1,0.183673469388,0.183673469388,0.270833333333,0.285714285714
1,0.183673469388,0.183673469388,0.270833333333,0.285714285714
1,0.163265306122,0.163265306122,0.25,0.285714285714
0,0.30612244898,0.30612244898,0.645833333333,0.142857142857
1,0.142857142857,0.142857142857,0.270833333333,0.142857142857
1,0.224489795918,0.224489795918,0.46875,0.142857142857
1,0.102040816327,0.102040816327,0.145833333333,0.285714285714
1,0.265306122449,0.265306122449,0.572916666667,0.142857142857
1,0.122448979592,0.122448979592,0.208333333333,0.285714285714
1,0.244897959184,0.244897959184,0.53125,0.142857142857
0,0.0816326530612,0.0816326530612,0.145833333333,0.142857142857
1,0.0816326530612,0.0816326530612,0.145833333333,0.142857142857
0,0.0816326530612,0.0816326530612,0.145833333333,0.142857142857
1,0.387755102041,0.387755102041,0.697916666667,0.285714285714
1,0.163265306122,0.163265306122,0.270833333333,0.285714285714
0,0.163265306122,0.163265306122,0.354166666667,0.142857142857
0,0.0204081632653,0.0204081632653,0.0,0.142857142857
0,0.0204081632653,0.0204081632653,0.0,0.142857142857
0,0.0204081632653,0.0204081632653,0.0,0.142857142857
0,0.204081632653,0.204081632653,0.458333333333,0.142857142857
1,0.204081632653,0.204081632653,0.458333333333,0.142857142857
0,0.102040816327,0.102040816327,0.208333333333,0.142857142857
0,0.224489795918,0.224489795918,0.520833333333,0.142857142857
1,0.0816326530612,0.0816326530612,0.125,0.285714285714
1,0.367346938776,0.367346938776,0.697916666667,0.285714285714
1,0.142857142857,0.142857142857,0.25,0.285714285714
1,0.122448979592,0.122448979592,0.270833333333,0.142857142857
0,0.30612244898,0.30612244898,0.822916666667,0.142857142857
0,0.102040816327,0.102040816327,0.197916666667,0.214285714286
0,0.122448979592,0.122448979592,0.28125,0.142857142857
1,0.142857142857,0.142857142857,0.34375,0.142857142857
0,0.183673469388,0.183673469388,0.489583333333,0.142857142857
1,0.0816326530612,0.0816326530612,0.145833333333,0.285714285714
1,0.0408163265306,0.0408163265306,0.0729166666667,0.142857142857
0,0.30612244898,0.30612244898,0.75,0.214285714286
1,0.0612244897959,0.0612244897959,0.125,0.142857142857
0,0.0204081632653,0.0204081632653,0.0208333333333,0.0
0,0.122448979592,0.122448979592,0.239583333333,0.285714285714
0,0.163265306122,0.163265306122,0.510416666667,0.0714285714286
0,0.0612244897959,0.0612244897959,0.145833333333,0.142857142857
0,0.0612244897959,0.0612244897959,0.145833333333,0.142857142857
1,0.326530612245,0.326530612245,0.71875,0.285714285714
0,0.0204081632653,0.0204081632653,0.0208333333333,0.142857142857
1,0.0204081632653,0.0204081632653,0.0208333333333,0.142857142857
1,0.0204081632653,0.0204081632653,0.0208333333333,0.142857142857
1,0.0612244897959,0.0612244897959,0.145833333333,0.142857142857
0,0.0204081632653,0.0204081632653,0.0208333333333,0.142857142857
0,0.0204081632653,0.0204081632653,0.0208333333333,0.142857142857
0,0.0204081632653,0.0204081632653,0.0208333333333,0.142857142857
1,0.102040816327,0.102040816327,0.21875,0.285714285714
0,0.0612244897959,0.0612244897959,0.145833333333,0.142857142857
0,0.0612244897959,0.0612244897959,0.145833333333,0.142857142857
0,0.0612244897959,0.0612244897959,0.145833333333,0.142857142857
1,0.102040816327,0.102040816327,0.270833333333,0.142857142857
0,0.102040816327,0.102040816327,0.270833333333,0.142857142857
0,0.0204081632653,0.0204081632653,0.0208333333333,0.285714285714
0,0.0204081632653,0.0204081632653,0.0208333333333,0.285714285714
0,0.0204081632653,0.0204081632653,0.0208333333333,0.285714285714
1,0.122448979592,0.122448979592,0.34375,0.142857142857
1,0.0204081632653,0.0204081632653,0.0208333333333,0.285714285714
0,0.0204081632653,0.0204081632653,0.0208333333333,0.285714285714
0,0.0204081632653,0.0204081632653,0.0208333333333,0.285714285714
0,0.0204081632653,0.0204081632653,0.0208333333333,0.285714285714
0,0.204081632653,0.204081632653,0.21875,0.857142857143
0,0.122448979592,0.122448979592,0.270833333333,0.285714285714
0,0.326530612245,0.326530612245,0.875,0.214285714286
1,0.163265306122,0.163265306122,0.375,0.285714285714
1,0.0612244897959,0.0612244897959,0.125,0.285714285714
1,0.122448979592,0.122448979592,0.25,0.357142857143
1,0.142857142857,0.142857142857,0.333333333333,0.285714285714
1,0.244897959184,0.244897959184,0.770833333333,0.142857142857
0,0.163265306122,0.163265306122,0.395833333333,0.285714285714
0,0.0816326530612,0.0816326530612,0.25,0.142857142857
0,0.0816326530612,0.0816326530612,0.25,0.142857142857
0,0.326530612245,0.326530612245,0.708333333333,0.428571428571
0,0.142857142857,0.142857142857,0.59375,0.0
0,0.0816326530612,0.0816326530612,0.25,0.214285714286
0,0.0408163265306,0.0408163265306,0.125,0.142857142857
0,0.183673469388,0.183673469388,0.645833333333,0.142857142857
1,0.0816326530612,0.0816326530612,0.21875,0.285714285714
0,0.163265306122,0.163265306122,0.458333333333,0.285714285714
0,0.0816326530612,0.0816326530612,0.21875,0.285714285714
1,0.142857142857,0.142857142857,0.395833333333,0.285714285714
0,0.224489795918,0.224489795918,0.833333333333,0.142857142857
0,0.469387755102,0.469387755102,0.645833333333,0.785714285714
1,0.122448979592,0.122448979592,0.458333333333,0.142857142857
0,0.204081632653,0.204081632653,0.614583333333,0.285714285714
0,0.122448979592,0.122448979592,0.572916666667,0.0714285714286
1,0.204081632653,0.204081632653,0.802083333333,0.142857142857
1,0.0408163265306,0.0408163265306,0.145833333333,0.142857142857
1,0.0816326530612,0.0816326530612,0.25,0.285714285714
1,0.102040816327,0.102040816327,0.40625,0.142857142857
